timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1753585200000,0.0985300,0.0994500,0.0979700,0.0984800,49109529,1753586999999,4852541.4946300,30755,27496985,2717502.6059300,0
1753587000000,0.0984800,0.0995800,0.0968100,0.0992900,71377342,1753588799999,7020299.8480700,36117,37151177,3656634.6733800,0
1753588800000,0.0992800,0.1066700,0.0991100,0.1056600,176172855,1753590599999,18252816.5737100,95302,98228237,10166308.5549700,0
1753590600000,0.1056700,0.1069500,0.1043700,0.1050400,76113353,1753592399999,8011007.6029100,45983,34933148,3679440.7182200,0
1753592400000,0.1050400,0.1055300,0.1017200,0.1026600,104767241,1753594199999,10829641.4038000,53015,46932262,4850328.0843400,0
1753594200000,0.1026400,0.1027700,0.1006200,0.1017000,64664650,1753595999999,6568037.5402400,34746,31560590,3206189.5840400,0
1753596000000,0.1017000,0.1017200,0.1007800,0.1013300,37154381,1753597799999,3765126.6626500,21500,21531930,2182456.1776300,0
1753597800000,0.1013300,0.1018100,0.1003000,0.1004000,44847873,1753599599999,4537729.7681900,24232,22731652,2301422.2902300,0
1753599600000,0.1004000,0.1017700,0.0996400,0.1011800,75229409,1753601399999,7558121.2025800,33389,42170466,4238780.9654000,0
1753601400000,0.1011800,0.1028100,0.1004000,0.1018000,56376887,1753603199999,5736845.0994600,29664,32282898,3286108.4613300,0
1753603200000,0.1018000,0.1027800,0.1004700,0.1017100,44519604,1753604999999,4515273.3183900,28209,21566177,2187963.5154800,0
1753605000000,0.1017200,0.1021700,0.1001200,0.1011400,40401812,1753606799999,4086276.7672000,24441,20682618,2091712.7741500,0
1753606800000,0.1011400,0.1015300,0.1000400,0.1003400,29174935,1753608599999,2937951.7869200,20393,15721305,1583505.6155800,0
1753608600000,0.1003400,0.1007100,0.0998800,0.1001600,24998944,1753610399999,2507106.1081900,17669,13179558,1321952.7081600,0
1753610400000,0.1001500,0.1006300,0.0980700,0.0983700,75915259,1753612199999,7536703.9694800,34223,31524493,3133338.0591800,0
1753612200000,0.0983600,0.1003400,0.0979600,0.0992400,60024275,1753613999999,5961044.9110700,31757,32873547,3265918.7189900,0
1753614000000,0.0992200,0.1017100,0.0990900,0.1014900,48609826,1753615799999,4883630.1566500,27149,27966769,2810171.0088700,0
1753615800000,0.1014800,0.1014900,0.0990000,0.0996600,42817510,1753617599999,4278476.7916900,26060,20631607,2060166.2898100,0
1753617600000,0.0996500,0.0996500,0.0972700,0.0982900,73248065,1753619399999,7215675.0545000,31572,35753901,3524114.3639900,0
1753619400000,0.0982900,0.1005600,0.0960300,0.0993600,119934691,1753621199999,11735278.0497600,49214,61030493,5975954.6459000,0
1753621200000,0.0993600,0.1022700,0.0979600,0.1013800,121355287,1753622999999,12131575.4096800,55153,60357700,6036574.3472400,0
1753623000000,0.1013900,0.1021300,0.1006600,0.1017300,69409985,1753624799999,7033741.4408200,39093,34654430,3512348.7541900,0
1753624800000,0.1017200,0.1033500,0.1008100,0.1019300,72978137,1753626599999,7444620.8575900,41583,37479845,3826582.5874800,0
1753626600000,0.1019300,0.1032400,0.1008200,0.1022700,51384259,1753628399999,5241880.2024900,30176,25501654,2602312.6848000,0
1753628400000,0.1022800,0.1024600,0.1010400,0.1013000,34630996,1753630199999,3521828.7873300,26829,16113746,1639409.0272200,0
1753630200000,0.1013100,0.1020000,0.1003800,0.1007200,36217980,1753631999999,3663826.2016100,24921,16836647,1704709.4869700,0
1753632000000,0.1007300,0.1095700,0.1003200,0.1090700,295261499,1753633799999,31107012.4346700,114589,162425492,17122470.3310400,0
1753633800000,0.1090600,0.1118200,0.1054200,0.1057600,212089021,1753635599999,22999131.9750700,105687,102476728,11122765.1208100,0
1753635600000,0.1057600,0.1083100,0.1053000,0.1059000,92223664,1753637399999,9817538.8131200,54739,47568164,5066783.8691600,0
1753637400000,0.1058900,0.1060000,0.1023200,0.1028600,86169125,1753639199999,8932649.6288200,46937,37806854,3918015.3766600,0
1753639200000,0.1028800,0.1047000,0.1024000,0.1032000,64448306,1753640999999,6670509.7009800,33767,36805963,3811228.6691500,0
1753641000000,0.1031800,0.1035800,0.1023900,0.1032200,29507974,1753642799999,3035130.6411500,19611,15280526,1572261.7376700,0
1753642800000,0.1032300,0.1035600,0.1018200,0.1028600,30358126,1753644599999,3117636.0231700,21439,16116529,1655759.2721600,0
1753644600000,0.1028700,0.1031900,0.1012100,0.1021300,26250438,1753646399999,2676516.0802100,18377,13560394,1383043.7860500,0
1753646400000,0.1021300,0.1022800,0.0997900,0.1009300,68050718,1753648199999,6854908.0434600,32232,30197980,3042206.1982900,0
1753648200000,0.1009300,0.1011200,0.1001200,0.1004600,18818389,1753649999999,1892501.9173600,14799,9814821,987482.9524900,0
1753650000000,0.1004700,0.1006000,0.0983200,0.0985100,55202481,1753651799999,5481995.4468800,23594,21312798,2117365.7458700,0
1753651800000,0.0985000,0.0989700,0.0980000,0.0985700,28352702,1753653599999,2794519.6704900,13749,17235092,1699288.2609200,0
